Abriendo SIMIT...
REQUEST:  GET https://www.fcm.org.co/simit/modulos/error-agregar-vehiculos/ErrorAgregarVehiculosControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/error-agregar-vehiculos/ErrorAgregarVehiculosControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/modulos/estado-cuenta/EstadoCuenta.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/estado-cuenta/EstadoCuenta.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/estado-cuenta-privado/EstadoCuentaPrivado.html
RESPONSE: 302 https://www.google.com/pagead/1p-conversion/306649963/?value=&label=cU4TCJvztPECEOu2nJIB&url=https%3A%2F%2Fwww.fcm.org.co%2F&guid=ON&script=0&ct_cookie_present=false&random=570647896&crd=CLTesQII8t-xAgit4bECCKG4sQIIscGxAgiwwbECCLHDsQIIisWxAgjCybECCLTGsQIIk9qxAgjb3LECCIfbsQII08WxAgjrzLECCO3OsQII1c-xAgj02rECCJfUsQIIyduxAgix4bECCLPhsQIIpt2xAgiw3rECCIDbsQI&cerd=CgSN4b0t&fsk=ChEI8OOhzwYQy-2I0MH1tu65ARIsADfqr1Vt6qpGcZJjM78GcOxARx-EWaGT_R9JStIty9_p0twAezx4NTWZV60aAkMd&pscrd=IhMIm6TGkJqDlAMVgwvQBB2MpyQCMgwIA2IICAAQABgAIAAyDAgEYggIABAAGAAgADIMCAdiCAgAEAAYACAAMgwICGIICAAQABgAIAAyDAgJYggIABAAGAAgADIMCApiCAgAEAAYACAAMgwIAmIICAAQABgAIAAyDAgLYggIABAAGAAgADIMCBViCAgAEAAYACAAMgwIH2IICAAQABgAIAAyDAgTYggIABAAGAAgADIMCBJiCAgAEAAYACAAOiFodHRwczovL3d3dy5nb29nbGV0YWdtYW5hZ2VyLmNvbS96DAgJYggIABAAGAAgAA&is_vtc=1&cid=CAQSsAEABaugfepJlYIIUlFClnroUuUCNxEfV4jFD7krcPSkRsxY8O-AHaRfJxgUlwfsY_p98dOl-Nfo2quC90ZFAiq659tnSQvlnzHG6vQT-suiMYM-X-3vsBwsvSEAAdZu_Xqh7Emsbu8uwbh7RuEj7f9_lvgv2QyR0bW47Wyp13K0HV6-WdKgiWWlFtnxT1ADHkOxDfeXfJY94SQcO576TChD2_m1o2AZ3MxUuuRb23nATA&random=3477484290
REQUEST:  GET https://www.google.com.co/pagead/1p-conversion/306649963/?value=&label=cU4TCJvztPECEOu2nJIB&url=https%3A%2F%2Fwww.fcm.org.co%2F&guid=ON&script=0&ct_cookie_present=false&random=570647896&crd=CLTesQII8t-xAgit4bECCKG4sQIIscGxAgiwwbECCLHDsQIIisWxAgjCybECCLTGsQIIk9qxAgjb3LECCIfbsQII08WxAgjrzLECCO3OsQII1c-xAgj02rECCJfUsQIIyduxAgix4bECCLPhsQIIpt2xAgiw3rECCIDbsQI&cerd=CgSN4b0t&fsk=ChEI8OOhzwYQy-2I0MH1tu65ARIsADfqr1Vt6qpGcZJjM78GcOxARx-EWaGT_R9JStIty9_p0twAezx4NTWZV60aAkMd&is_vtc=1&cid=CAQSsAEABaugfepJlYIIUlFClnroUuUCNxEfV4jFD7krcPSkRsxY8O-AHaRfJxgUlwfsY_p98dOl-Nfo2quC90ZFAiq659tnSQvlnzHG6vQT-suiMYM-X-3vsBwsvSEAAdZu_Xqh7Emsbu8uwbh7RuEj7f9_lvgv2QyR0bW47Wyp13K0HV6-WdKgiWWlFtnxT1ADHkOxDfeXfJY94SQcO576TChD2_m1o2AZ3MxUuuRb23nATA&random=3477484290&ipr=y&pscrd=IhMIm6TGkJqDlAMVgwvQBB2MpyQCMgwIA2IICAAQABgAIAAyDAgEYggIABAAGAAgADIMCAdiCAgAEAAYACAAMgwICGIICAAQABgAIAAyDAgJYggIABAAGAAgADIMCApiCAgAEAAYACAAMgwIAmIICAAQABgAIAAyDAgLYggIABAAGAAgADIMCBViCAgAEAAYACAAMgwIH2IICAAQABgAIAAyDAgTYggIABAAGAAgADIMCBJiCAgAEAAYACAAOiFodHRwczovL3d3dy5nb29nbGV0YWdtYW5hZ2VyLmNvbS96DAgJYggIABAAGAAgAIIBAnAB
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/estado-cuenta-privado/EstadoCuentaPrivado.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/firmar/Firmar.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/firmar/Firmar.html
REQUEST:  GET https://www.fcm.org.co/simit/modulos/gadgets-accesibilidad/GadgetAccesibilidad.html
RESPONSE: 200 https://www.fcm.org.co/simit/modulos/gadgets-accesibilidad/GadgetAccesibilidad.html
